,ann,return_sp_500
2001-02-01,1.0,0.06508085735710267
2001-02-02,1.0,-1.6730835499588537
2001-02-05,1.0,5.058398584468371
2001-02-06,1.0,-0.10898281087534656
2001-02-07,1.0,-10.95148200573961
2001-02-08,1.0,7.455684304797305
2001-02-09,1.0,5.30673367150607
2001-02-12,1.0,-6.169558741541081
2001-02-13,1.0,1.6069156638753412
2001-02-14,1.0,-4.680078518345088
2001-02-15,1.0,0.051169471766243646
2001-02-16,1.0,6.316806847599032
2001-02-20,1.0,-2.713243528641751
2001-02-21,1.0,4.173530386727542
2001-02-22,1.0,1.621838219077354
2001-02-23,1.0,-7.301755973591195
2001-02-26,1.0,-0.09956306455434216
2001-02-27,1.0,4.193070719488556
2001-02-28,1.0,-2.401693231622737
2001-03-01,1.0,-4.3935435339156115
2001-03-02,1.0,2.9908951121153216
2001-03-05,1.0,-4.764383014351203
2001-03-06,1.0,-2.2524842933245637
2001-03-07,1.0,2.551907380913576
2001-03-08,1.0,0.9585837165529298
2001-03-09,1.0,4.002201642899106
2001-03-12,1.0,-8.495166760053152
2001-03-13,1.0,12.551690809059135
2001-03-14,1.0,-2.4352490163050966
2001-03-15,1.0,-5.865505336786558
2001-03-16,1.0,-6.58251676750119
2001-03-19,1.0,0.3770700680576944
2001-03-20,1.0,5.17729116249539
2001-03-21,1.0,-4.218719841093943
2001-03-22,1.0,0.07053479448622113
2001-03-23,1.0,1.4816806599082355
2001-03-26,1.0,-2.09623901589735
2001-03-27,1.0,3.1132810806539624
2001-03-28,1.0,-1.3462413238101156
2001-03-29,1.0,0.415846270370146
2001-03-30,1.0,-0.04305776752149271
2001-04-02,1.0,-1.00421646354798
2001-04-03,1.0,-0.5722739839275626
2001-04-04,1.0,-0.6791247459884353
2001-04-05,1.0,-2.700304699532996
2001-04-06,1.0,2.9945897896861418
2001-04-09,1.0,0.8790829075768336
2001-04-10,1.0,-1.4376385375991063
2001-04-11,1.0,0.6278219607637858
2001-04-12,1.0,-1.7297856286352165
2001-04-16,1.0,5.494749532834309
2001-04-17,1.0,-5.984699763820611
2001-04-18,1.0,4.590275577354497
2001-04-19,1.0,-1.9644049979807399
2001-04-20,1.0,6.981146503955138
2001-04-23,1.0,-6.998965879945374
2001-04-24,1.0,-4.910084449226559
2001-04-25,1.0,3.0530912555137846
2001-04-26,1.0,4.923720720541791
2001-04-27,1.0,-4.592814479774621
2001-04-30,1.0,-2.2791405133157028
2001-05-01,1.0,4.503189192682289
2001-05-02,1.0,5.187481700599239
2001-05-03,1.0,-2.5293797686774866
2001-05-04,1.0,2.9010848050541327
2001-05-07,1.0,-8.41564442384648
2001-05-08,1.0,1.4748074434594471
2001-05-09,1.0,-0.6401556857951185
2001-05-10,1.0,-1.1204717946843523
2001-05-11,1.0,9.581427417608701
2001-05-14,1.0,0.21375237458061136
2001-05-15,1.0,-2.4051834801992023
2001-05-16,1.0,-5.448544489310692
2001-05-17,1.0,-1.4284062743912251
2001-05-18,1.0,3.8357001462427043
2001-05-21,1.0,-1.1020578905013956
2001-05-22,1.0,7.895459242437841
2001-05-23,1.0,2.0911194924117638
2001-05-24,1.0,-6.488725425450781
2001-05-25,1.0,1.3890613261428264
2001-05-29,1.0,1.7058256119845794
2001-05-30,1.0,-2.8127891903687363
2001-05-31,1.0,1.0296510927977565
2001-06-01,1.0,-0.6905556550655056
2001-06-04,1.0,-5.582702076473112
2001-06-05,1.0,6.5534660867700545
2001-06-06,1.0,1.403575072490515
2001-06-07,1.0,-3.3112961233951133
2001-06-08,1.0,0.23545571452112668
2001-06-11,1.0,1.4488128622638818
2001-06-12,1.0,0.34753448770086237
2001-06-13,1.0,-7.900902047686298
2001-06-14,1.0,9.56938680249424
2001-06-15,1.0,-3.3898981593299737
2001-06-18,1.0,-2.2764685866134116
2001-06-19,1.0,2.245306880853626
2001-06-20,1.0,2.076066458059156
2001-06-21,1.0,-8.372379264954866
2001-06-22,1.0,3.848484931838936
2001-06-25,1.0,7.457848807947176
2001-06-26,1.0,-6.478827261271647
2001-06-27,1.0,-1.6460300497135982
2001-06-28,1.0,5.208653864298185
2001-06-29,1.0,3.412704661066712
2001-07-02,1.0,-0.023097396163596073
2001-07-03,1.0,-9.200900199116813
2001-07-05,1.0,-2.2902267581859093
2001-07-06,1.0,6.740598411593357
2001-07-09,1.0,2.3488082889116413
2001-07-10,1.0,-2.2027533404995303
2001-07-11,1.0,-1.04185887026782
2001-07-12,1.0,0.6455850445416189
2001-07-13,1.0,-1.6562656056378522
2001-07-16,1.0,4.991556079958404
2001-07-17,1.0,-6.066693099354747
2001-07-18,1.0,1.2393498602965458
2001-07-19,1.0,-0.6373520340594574
2001-07-20,1.0,-6.027441750076523
2001-07-23,1.0,2.75050788395248
2001-07-24,1.0,9.95194292882955
2001-07-25,1.0,-3.394628159464208
2001-07-26,1.0,-2.792329045201214
2001-07-27,1.0,0.4681946914329771
2001-07-30,1.0,2.81583683321891
2001-07-31,1.0,-7.298643506731217
2001-08-01,1.0,5.804675170158902
2001-08-02,1.0,-8.618588770171609
2001-08-03,1.0,0.5569067367773073
2001-08-06,1.0,2.1020094132349065
2001-08-07,1.0,6.5955663741754655
2001-08-08,1.0,-0.48018362625716904
2001-08-09,1.0,-1.2099578877602823
2001-08-10,1.0,-5.29654746618009
2001-08-13,1.0,4.221897116235596
2001-08-14,1.0,-4.287615796461441
2001-08-15,1.0,2.3111150506482048
2001-08-16,1.0,0.26861351361375796
2001-08-17,1.0,3.503721863055631
2001-08-20,1.0,-5.471242795385578
2001-08-21,1.0,-2.5776153290716586
2001-08-22,1.0,5.1778291752082595
2001-08-23,1.0,1.1746154560117184
2001-08-24,1.0,-2.9508133336996423
2001-08-27,1.0,0.16564011900976894
2001-08-28,1.0,-3.0469544259058345
2001-08-29,1.0,-2.0988949496125286
2001-08-30,1.0,-2.9852797312714507
2001-08-31,1.0,11.560401365926154
2001-09-04,1.0,-10.452114288130065
2001-09-05,1.0,-2.0853706847761444
2001-09-06,1.0,7.030423742759151
2001-09-07,1.0,-0.72081169492062
2001-09-10,1.0,-3.637120127311455
2001-09-17,1.0,-1.9648661461366679
2001-09-18,1.0,2.3927607739376633
2001-09-19,1.0,-11.580587706734491
2001-09-20,1.0,5.594974916496742
2001-09-21,1.0,4.489359702770912
2001-09-24,1.0,-9.482059461117753
2001-09-25,1.0,8.488413905804837
2001-09-26,1.0,-5.206052141107609
2001-09-27,1.0,-0.7421891631905986
2001-09-28,1.0,5.653886941700215
2001-10-01,1.0,2.9662906142978507
2001-10-02,1.0,-2.608914504756221
2001-10-03,1.0,-7.1331153286930515
2001-10-04,1.0,3.382603236981385
2001-10-05,1.0,-1.6622756624733448
2001-10-08,1.0,0.8921919282402158
2001-10-09,1.0,3.8373900193530375
2001-10-10,1.0,-7.300942712074043
2001-10-11,1.0,5.294746685771834
2001-10-12,1.0,-4.068640006717494
2001-10-15,1.0,6.765495768361696
2001-10-16,1.0,-1.4853693678707813
2001-10-17,1.0,-2.147314023496971
2001-10-18,1.0,-3.7012328845773546
2001-10-19,1.0,0.46535718014482086
2001-10-22,1.0,8.136399609135214
2001-10-23,1.0,0.04187553583214765
2001-10-24,1.0,-9.4005823688053
2001-10-25,1.0,3.4466219565518763
2001-10-26,1.0,0.0027721075873898826
2001-10-29,1.0,1.953412172749669
2001-10-30,1.0,0.5635456008781681
2001-10-31,1.0,5.21254193270444
2001-11-01,1.0,-4.248610498181904
2001-11-02,1.0,-1.6593207050934033
2001-11-05,1.0,3.030943197246483
2001-11-06,1.0,1.5373517865829633
2001-11-07,1.0,-2.766239892882272
2001-11-08,1.0,0.3838220417112126
2001-11-09,1.0,0.8437042598303357
2001-11-12,1.0,4.9160039175626835
2001-11-13,1.0,2.3695259248644795
2001-11-14,1.0,-1.2972123299934246
2001-11-15,1.0,-10.061250761482654
2001-11-16,1.0,-0.1782315442136806
2001-11-19,1.0,-4.388066027274551
2001-11-20,1.0,7.943591885061174
2001-11-21,1.0,7.158161156007115
2001-11-23,1.0,-6.397347823954913
2001-11-26,1.0,5.5453538169190075
2001-11-27,1.0,-4.987837956358376
2001-11-28,1.0,1.2079565537323589
2001-11-29,1.0,-1.0023036008518282
2001-11-30,1.0,-2.522859223930496
2001-12-03,1.0,0.3776611277427122
2001-12-04,1.0,6.728309788656972
2001-12-05,1.0,-0.5273888691135653
2001-12-06,1.0,0.787934644735433
2001-12-07,1.0,-5.088851613653489
2001-12-10,1.0,0.49424508177757787
2001-12-11,1.0,-0.7510572619671585
2001-12-12,1.0,-1.2413051871728698
2001-12-13,1.0,3.4852418807056473
2001-12-14,1.0,6.538719864839493
2001-12-17,1.0,-3.1147027656523107
2001-12-18,1.0,-1.6365627634910673
2001-12-19,1.0,-7.992987406163721
2001-12-20,1.0,9.795823697094619
2001-12-21,1.0,5.183535846556708
2001-12-24,1.0,-17.31977852820341
2001-12-26,1.0,13.545894642766587
2001-12-27,1.0,-3.0591889326930577
2001-12-28,1.0,4.553758118672135
2001-12-31,1.0,-0.682881861682727
2002-01-02,1.0,-3.8604518289587553
2002-01-03,1.0,-3.292887753362006
2002-01-04,1.0,2.223600425482708
2002-01-07,1.0,5.474706747378821
2002-01-08,1.0,-5.876903235795439
2002-01-09,1.0,-2.123675871523112
2002-01-10,1.0,0.20571524007841901
2002-01-11,1.0,5.332373155652803
2002-01-14,1.0,2.31748348199714
2002-01-15,1.0,-3.6417332397601143
2002-01-16,1.0,-1.3007573469577594
2002-01-17,1.0,0.12234022611776751
2002-01-18,1.0,-3.497117457829013
2002-01-22,1.0,6.880643075108228
2002-01-23,1.0,-3.0130567427859134
2002-01-24,1.0,4.405033423878635
2002-01-25,1.0,0.8716821757524862
2002-01-28,1.0,-9.141347993919702
2002-01-29,1.0,-0.5689821746897472
2002-01-30,1.0,5.831847161328696
2002-01-31,1.0,-6.53169690716302
2002-02-01,1.0,3.558232385412552
2002-02-04,1.0,-0.2513781892730549
2002-02-05,1.0,-1.5134882821777218
2002-02-06,1.0,3.27623438274518
2002-02-07,1.0,-5.013485521374861
2002-02-08,1.0,3.0303167921933216
2002-02-11,1.0,0.5396753812608068
2002-02-12,1.0,-3.3621871020138805
2002-02-13,1.0,0.250928219319313
2002-02-14,1.0,-0.19660074002203487
2002-02-15,1.0,-3.1867439705989042
2002-02-19,1.0,4.2556002988933805
2002-02-20,1.0,-2.049140168194352
2002-02-21,1.0,5.326966245830711
2002-02-22,1.0,-0.4955550067119674
2002-02-25,1.0,-2.7108819852137422
2002-02-26,1.0,-0.9340654181723806
2002-02-27,1.0,-0.6271567743213247
2002-02-28,1.0,-4.196772079846234
2002-03-01,1.0,7.9432266690419695
2002-03-04,1.0,4.59514047714773
2002-03-05,1.0,-7.675647459992874
2002-03-06,1.0,-6.675118868916741
2002-03-07,1.0,10.035846774230262
