date,sp_500,earnings,10y_usa_rate
1944-12-31,13.596714153011233,0.932813602622205,2.4836172445986686
1945-01-01,13.458449851840047,1.162941547281071,2.6307902184931993
1945-01-02,14.10613838994074,0.8743307928175805,2.775911645841304
1945-01-03,15.629168246348765,0.5912839551687037,2.96293847863959
1945-01-04,15.39501487162543,0.7959577202931338,2.849267151681623
1945-01-05,15.160877914676249,1.0098064491099294,2.795127434843208
1945-01-06,16.74009073018364,1.3087999824058567,2.8444474179508243
1945-01-07,17.50752545933655,1.4971391258831444,2.759457774360305
1945-01-08,17.038051073401597,0.828928662381102,2.5277587804604154
1945-01-09,17.580611116987562,0.42574432402489404,2.42728681847348
1945-01-10,17.1171934241751,0.8507157670992416,2.7542250018007035
1945-01-11,16.65146367060484,-0.12851691560242717,2.6055925655171537
1945-01-12,16.893425942170875,0.017786705150374504,2.446843484588869
1945-01-13,14.980145697513079,-0.03815334438421614,2.3374593138929276
1945-01-14,13.255227865000045,0.3866375893519637,2.448843051342865
1945-01-15,12.692940335759072,0.5949481823873413,2.51844573351822
1945-01-16,11.680109215424649,0.2629580425331103,2.6596934005061628
1945-01-17,11.994356548019923,-0.09171697661772138,3.1661997545628227
1945-01-18,11.086332472498713,-0.3531087131161811,3.330410239867981
1945-01-19,9.674028771163421,-0.06307718943086715,3.510310715227016
1945-01-20,11.139677540084975,-1.2141840292084893,4.082241294429713
1945-01-21,10.91390123959844,-1.1354943070299588,4.180153395837081
1945-01-22,10.981429444286363,-1.5770116006436425,4.101775602446261
1945-01-23,9.556681258072906,-1.481593951740014,4.041202198088881
1945-01-24,9.012298533547725,-1.3093450584883297,4.2525616904571235
1945-01-25,9.12322112325759,-2.140508349952673,4.002204997486595
1945-01-26,7.972227545835287,-2.253941563452989,3.6128864840258483
1945-01-27,8.34792556418096,-2.1761563850528653,3.448673445584569
1945-01-28,7.747286874262155,-2.1321813374152914,3.61264506318768
1945-01-29,7.455593124468878,-2.193281813973274,3.7311903130289923
1945-01-30,6.853886512239481,-2.8037255738802798,3.6991917953185958
1945-01-31,8.70616469674842,-3.3380395892035506,3.9130295128022383
1945-02-01,8.692667472010484,-4.027063250580476,4.034688654774607
1945-02-02,7.634956543054585,-3.7500404651605996,4.103483659985001
1945-02-03,8.457501455157775,-3.8078258860639003,4.100029563388041
1945-02-04,7.236657805186752,-3.833702505710257,4.279299938004412
1945-02-05,7.445521400191508,-4.686449227632704,4.430361807294115
1945-02-06,5.485851276311732,-4.703250626263307,4.375750611553539
1945-02-07,4.157665227413302,-4.386432090271965,4.538432862491506
1945-02-08,4.354526463282426,-5.307351877559105,4.407688840638203
1945-02-09,5.092993043277836,-5.57505500693159,4.454664636995934
1945-02-10,5.2643613244678065,-6.360229572703993,4.5347455045245315
1945-02-11,5.148713042079566,-6.570370610068936,4.467741319751049
1945-02-12,4.847609346490277,-7.020866558854398,4.494562532795779
1945-02-13,3.369087356122849,-6.830412142033596,4.616170672713932
1945-02-14,2.649243147728141,-6.745792360320401,4.399684034161192
1945-02-15,2.188604376768353,-6.100040157503379,4.436483661571058
1945-02-16,3.2457266029872684,-6.127079082153626,4.87943399609863
1945-02-17,3.5893448925557294,-5.95783518110149,4.714167067936052
1945-02-18,1.826304737192995,-6.236688921925729,4.9201609978914655
1945-02-19,2.1503887065877905,-6.788221247540018,4.90103151818553
1945-02-20,1.765306426171474,-6.370840030194975,5.13762982736867
1945-02-21,1.0883844258655149,-5.749212503421435,4.99294149040865
1945-02-22,1.7000607147063835,-5.396384653802309,4.9941548646719784
1945-02-23,2.7310602372023336,-5.330770592237542,5.43633080307521
1945-02-24,3.6623403563185324,-5.81781736948018,5.401690115519401
1945-02-25,2.823122833095894,-5.247003282766706,5.5283740749221995
1945-02-26,2.5139104572446804,-4.957248624948201,5.6472790659814
1945-02-27,2.845173888648244,-3.944809320283477,5.241571292887481
1945-02-28,3.820719015770603,-4.52202129540343,5.330816965028777
1945-03-01,3.3415447779253125,-4.09073804477974,5.083310904160779
1945-03-02,3.155885801261496,-3.8161847923423404,5.209891376106755
1945-03-03,2.0495508272554677,-3.9871983924663685,5.233434261121164
