,sp_500,earnings,10y_usa_rate
1945-01-02,13.426272844231148,0.9470368955592922,2.4486702086396837
1945-01-03,13.857824782660947,0.9699889208908653,2.5463804904161362
1945-01-04,13.042169939327206,0.925423259179432,2.3531437327724727
1945-01-05,13.054525580652433,0.9257430037148828,2.3528524537262494
1945-01-06,13.924625269749267,0.9724654261445927,2.551850367890976
1945-01-08,12.98406361244208,0.9208400505856917,2.3272835747227467
1945-01-09,13.465783400629316,0.9466397106946609,2.4350303228487564
1945-01-10,13.011424199864356,0.9216261604928306,2.3273360385593116
1945-01-11,13.022687517089967,0.9218867132608888,2.3268049893494545
1945-01-12,13.362492121073506,0.939970658400266,2.4015302062021266
1945-01-13,12.401696518636054,0.8872106658213462,2.1800230845329365
1945-01-15,13.027896910961116,0.9207595450623836,2.3155982860903523
1945-01-16,12.835860394359646,0.9099558193443565,2.26900210914727
1945-01-17,13.459938430564426,0.9434305084736311,2.4078275697758666
1945-01-18,12.907520810438866,0.9131607658535426,2.279123354360661
1945-01-19,12.693321497955173,0.9011396199479762,2.2278862540709956
1945-01-20,14.05426532986471,0.9741863967071872,2.534465779667207
1945-01-22,13.407298715574312,0.9387934958083851,2.3798532341751573
1945-01-23,12.73590310476892,0.9020813520861576,2.2255345205160975
1945-01-24,13.147580693990083,0.9240690221563802,2.3148623950272356
1945-01-25,13.465888304998181,0.9408658747422878,2.3835980814496462
1945-01-26,12.895289822080583,0.9097054857153006,2.2521815826088094
1945-01-27,13.617226343100008,0.9482609047763548,2.411466918833873
1945-01-29,13.327491754386708,0.931992715047827,2.33978437377796
1945-01-30,13.195897126907042,0.9245537751550037,2.3071951056975224
1945-01-31,14.395148096187162,0.9881379791555579,2.5752598754622094
1945-02-01,13.499428678965025,0.9400131699754557,2.368028967430868
1945-02-02,13.029398278982361,0.9142618067287739,2.259189681696658
1945-02-03,13.933605625647065,0.9621705531720152,2.457377005193768
1945-02-05,13.669009792556949,0.9470965763687479,2.389590704098386
1945-02-06,12.68312519246926,0.8936457313852741,2.1676707492894822
1945-02-07,12.982271612007677,0.9093352945885882,2.2294249269314745
1945-02-08,13.711380142903229,0.9478642070485832,2.3866807889522557
1945-02-09,13.99062196871034,0.9621711438387489,2.444800940580928
1945-02-10,13.731276508211941,0.94792914310814,2.3828730638574407
1945-02-13,13.0051483465073,0.907712787531359,2.2114351790736575
1945-02-14,13.371387346192304,0.9268224063723961,2.2874458353625653
1945-02-15,13.509282565460373,0.9336753490593385,2.3136641055498544
1945-02-16,14.264344522901292,0.9730443783952609,2.476052762208891
1945-02-17,13.928245962758277,0.9548646597371558,2.3975412106023395
1945-02-19,13.951371366224327,0.955083507751727,2.394355843083728
1945-02-20,13.624719058544828,0.9373489801850499,2.3188857734697343
1945-02-21,13.501833302383282,0.9303536617979661,2.2882178081983953
1945-02-23,14.368676321668381,0.9749350750196053,2.469231463521639
1945-02-24,14.33531751654419,0.972684820924723,2.4576572133802985
1945-02-26,13.757406073727337,0.9414007365006775,2.32362492940057
1945-02-27,14.086330802750402,0.9581609949162653,2.390785838209572
1945-02-28,14.42504448590297,0.9753197245048433,2.4603077853043587
1945-03-01,13.707443081480623,0.9381219255429233,2.304462150144405
